,Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Deep_Blue_Aerosol_Optical_Depth_550_Land,AOD_550_Dark_Target_Deep_Blue_Combined,AOD_550_Dark_Target_Deep_Blue_Combined_QA_Flag,Aerosol_Cloud_Fraction_Land,Image_Optical_Depth_Land_And_Ocean,Location
13229,2016.0,7.0,14.0,7.0,22.0,32.0,28.700217,77.16379,-9999.0,-9999.0,0.0,1.0000000474974513,-9999.0,"Wazirpur, Delhi - DPCC"
18223,2016.0,3.0,24.0,7.0,23.0,27.0,28.6508,77.3152,0.5610000266460702,0.7120000338181853,3.0,0.06700000318232924,0.7120000338181853,"Anand Vihar, Delhi - DPCC"
18223,2016.0,3.0,24.0,7.0,23.0,27.0,28.688454999999998,77.17575,0.5610000266460702,0.7120000338181853,3.0,0.06700000318232924,0.7120000338181853,"Ashok Vihar, Delhi - DPCC"
18089,2016.0,3.0,24.0,7.0,23.0,25.0,28.48,77.13,0.38700001838151366,-9999.0,0.0,0.6170000293059275,0.4370000207563862,"Aya Nagar, New Delhi - IMD"
18358,2016.0,3.0,24.0,7.0,23.0,28.0,28.72835,77.197484,0.6400000303983688,0.8690000412752852,3.0,0.3120000148192048,0.8690000412752852,"Burari Crossing, New Delhi - IMD"
18088,2016.0,3.0,24.0,7.0,23.0,25.0,28.55,77.28,0.43400002061389387,0.5350000254111364,3.0,0.12900000612717122,0.5350000254111364,"CRRI Mathura Road, New Delhi - IMD"
18358,2016.0,3.0,24.0,7.0,23.0,28.0,28.7504,77.11717,0.6400000303983688,0.8690000412752852,3.0,0.3120000148192048,0.8690000412752852,"DTU, New Delhi - CPCB"
17953,2016.0,3.0,24.0,7.0,23.0,24.0,28.499727000000004,77.267095,0.41800001985393465,0.5430000257911161,3.0,0.1520000072196126,0.5430000257911161,"Dr. Karni Singh Shooting Range, Delhi - DPCC†"
18224,2016.0,3.0,24.0,7.0,23.0,27.0,28.572038,77.070837,0.4870000231312588,-9999.0,0.0,0.7850000372854993,0.5360000254586339,"Dwarka-Sector 8, Delhi - DPCC"
18223,2016.0,3.0,24.0,7.0,23.0,27.0,28.655602000000002,77.294687,0.5610000266460702,0.7120000338181853,3.0,0.06700000318232924,0.7120000338181853,"East Arjun Nagar, Delhi - CPCB"
18089,2016.0,3.0,24.0,7.0,23.0,25.0,28.56,77.094,0.38700001838151366,-9999.0,0.0,0.6170000293059275,0.4370000207563862,"IGI Airport Terminal - 3, New Delhi - IMD"
18223,2016.0,3.0,24.0,7.0,23.0,27.0,28.68255,77.30512,0.5610000266460702,0.7120000338181853,3.0,0.06700000318232924,0.7120000338181853,"IHBAS, Dilshad Garden,New Delhi - CPCB"
18088,2016.0,3.0,24.0,7.0,23.0,25.0,28.624059999999997,77.2411,0.43400002061389387,0.5350000254111364,3.0,0.12900000612717122,0.5350000254111364,"ITO, New Delhi - CPCB"
18358,2016.0,3.0,24.0,7.0,23.0,28.0,28.725833,77.162752,0.6400000303983688,0.8690000412752852,3.0,0.3120000148192048,0.8690000412752852,"Jahangirpuri, Delhi - DPCC"
