,Cloud_Fraction,AOD,Location,Date,PM25
1094,0.045000002137385316,0.6100000289734453,Punjabi Bagh,2017-06-16,46.68181818181818
1095,0.39050001854775473,0.7905000375467353,ITO,2017-06-16,52.60256410256411
1096,0.39050001854775473,0.7905000375467353,Mandir,2017-06-16,54.512195121951216
1097,0.10200000484474003,0.6370000302558765,Shadipur,2017-06-16,146.36413043478257
1098,0.5145000244374387,0.8245000391616486,Sirifort,2017-06-16,41.19148936170213
1099,0.002000000094994902,0.9010000427952036,NSIT Dwarka,2017-06-16,65.50135135135136
1100,0.16500000783707947,0.6280000298283994,R K Puram,2017-06-16,49.38095238095239
1101,0.39050001854775473,0.7905000375467353,US Diplomatic Post: New Delhi,2017-06-16,33.166666666666664
1102,0.3785000179777853,0.6815000323695131,Punjabi Bagh,2017-06-17,48.48936170212766
1103,0.3785000179777853,0.6815000323695131,Shadipur,2017-06-17,52.415333333333336
1104,0.3785000179777853,0.6815000323695131,US Diplomatic Post: New Delhi,2017-06-17,118.95833333333331
1105,0.3785000179777853,0.6815000323695131,ITO,2017-06-17,67.98795180722891
1106,0.36950001755030826,0.6820000323932618,NSIT Dwarka,2017-06-17,49.95833333333335
1107,0.36950001755030826,0.6820000323932618,Sirifort,2017-06-17,49.638297872340424
1108,0.36950001755030826,0.6820000323932618,R K Puram,2017-06-17,61.904761904761905
1109,0.3785000179777853,0.6815000323695131,Mandir,2017-06-17,62.93181818181818
1110,0.007000000332482159,1.4570000692037866,Mandir,2017-06-18,149.60526315789474
1111,0.007000000332482159,1.569000074523501,ITO,2017-06-18,129.6413043478261
1112,0.0,1.4660000696312636,Shadipur,2017-06-18,53.24063829787235
1113,0.007000000332482159,1.569000074523501,Sirifort,2017-06-18,77.77083333333333
1114,0.007000000332482159,1.4570000692037866,US Diplomatic Post: New Delhi,2017-06-18,67.41666666666667
1115,0.0,1.4660000696312636,Punjabi Bagh,2017-06-18,64.5813953488372
1116,0.029000001377426088,1.553000073763542,NSIT Dwarka,2017-06-18,66.77017543859651
1117,0.029000001377426088,1.553000073763542,R K Puram,2017-06-18,112.94871794871794
1118,0.017000000807456672,1.438000068301335,Punjabi Bagh,2017-06-19,30.724137931034484
1119,0.014000000664964318,1.2960000615566971,NSIT Dwarka,2017-06-19,36.623529411764714
1120,0.05000000237487257,1.2420000589918343,R K Puram,2017-06-19,56.185185185185176
1121,0.05000000237487257,1.2420000589918343,US Diplomatic Post: New Delhi,2017-06-19,29.66666666666667
1122,0.029000001377426088,1.0810000513447449,Sirifort,2017-06-19,36.23404255319149
1123,0.05000000237487257,1.2420000589918343,Mandir,2017-06-19,39.884615384615394
1124,0.017000000807456672,1.438000068301335,Shadipur,2017-06-19,47.95978723404256
1125,0.05000000237487257,1.2420000589918343,ITO,2017-06-19,118.72058823529413
1126,0.6720000319182873,2.9210001387400557,R K Puram,2017-06-21,65.73684210526315
1127,0.4570000217063353,0.4880000231787562,Shadipur,2017-06-24,73.9039583333333
1128,0.5550000263610855,0.5010000237962231,Sirifort,2017-06-24,70.68888888888887
1129,0.4570000217063353,0.4880000231787562,Punjabi Bagh,2017-06-24,72.22448979591837
1130,0.4570000217063353,0.4880000231787562,US Diplomatic Post: New Delhi,2017-06-24,59.79166666666666
1131,0.4570000217063353,0.4880000231787562,Mandir,2017-06-24,62.47619047619048
1133,0.5550000263610855,0.5010000237962231,NSIT Dwarka,2017-06-24,170.324705882353
1134,0.5550000263610855,0.5010000237962231,R K Puram,2017-06-24,89.02272727272727
1135,0.6750000320607796,1.2350000586593524,US Diplomatic Post: New Delhi,2017-06-25,56.75
1136,0.6750000320607796,1.2350000586593524,Mandir,2017-06-25,63.20454545454545
1137,0.6720000319182873,0.9400000446476042,R K Puram,2017-06-25,78.07142857142857
1139,0.6970000331057236,1.2670000601792708,Punjabi Bagh,2017-06-26,55.85
1140,0.6970000331057236,1.2670000601792708,Shadipur,2017-06-26,51.91854166666667
1141,0.0,1.1330000538146123,Shadipur,2017-06-27,62.21708333333334
1142,0.0,1.1330000538146123,Sirifort,2017-06-27,31.936170212765962
1143,0.0,1.1330000538146123,ITO,2017-06-27,115.94736842105264
1144,0.0,1.1330000538146123,Mandir,2017-06-27,34.02857142857143
1145,0.0,1.1330000538146123,US Diplomatic Post: New Delhi,2017-06-27,29.08333333333333
1146,0.0,1.1330000538146123,R K Puram,2017-06-27,60.230769230769226
1147,0.0,1.1330000538146123,Punjabi Bagh,2017-06-27,37.78723404255321
1148,0.0,1.1330000538146123,NSIT Dwarka,2017-06-27,42.00845070422533
1149,0.2500000118743628,1.8570000882027669,NSIT Dwarka,2017-07-07,63.327173913043474
1150,0.6390000303508714,1.5080000716261566,Mandir,2017-07-09,58.153846153846146
1151,0.6990000332007185,1.7580000835005194,R K Puram,2017-07-09,75.81818181818181
1152,0.6390000303508714,1.5080000716261566,Shadipur,2017-07-09,61.51458333333334
1153,0.6390000303508714,1.5080000716261566,US Diplomatic Post: New Delhi,2017-07-09,53.41666666666666
1154,0.6990000332007185,1.7580000835005194,Sirifort,2017-07-09,51.93617021276596
1155,0.39700001885648817,1.5660000743810087,NSIT Dwarka,2017-07-09,88.41111111111108
1156,0.39700001885648817,1.5660000743810087,Punjabi Bagh,2017-07-09,55.11764705882353
1157,0.8140000386629254,1.6080000763759017,NSIT Dwarka,2017-07-16,56.0853333333333
1158,0.7360000349581242,0.5985000284272246,Shadipur,2017-07-18,45.10217391304346
1159,0.7360000349581242,0.5985000284272246,Punjabi Bagh,2017-07-18,51.875
1160,0.517500024579931,0.641500030469615,ITO,2017-07-18,72.1264367816092
1161,0.7220000342931598,0.8560000406578183,NSIT Dwarka,2017-07-18,48.0389610389611
1163,0.4350000206613913,0.4590000218013302,Sirifort,2017-07-18,37.18181818181818
1164,0.4350000206613913,0.4590000218013302,R K Puram,2017-07-18,51.16666666666666
1165,0.5560000264085829,0.5010000237962231,Mandir,2017-07-18,44.61904761904761
1166,0.7350000349106267,0.15700000745709985,Sirifort,2017-07-19,59.78260869565217
1167,0.7350000349106267,0.15700000745709985,Punjabi Bagh,2017-07-19,47.0625
1168,0.7350000349106267,0.15700000745709985,Mandir,2017-07-19,55.483870967741936
1169,0.7350000349106267,0.15700000745709985,R K Puram,2017-07-19,78.0
1170,0.7350000349106267,0.15700000745709985,US Diplomatic Post: New Delhi,2017-07-19,54.33333333333334
1171,0.7350000349106267,0.15700000745709985,NSIT Dwarka,2017-07-19,45.44285714285714
1172,0.7350000349106267,0.15700000745709985,ITO,2017-07-19,83.46153846153847
1173,0.7350000349106267,0.15700000745709985,Shadipur,2017-07-19,63.377027027027026
1175,0.740000035148114,0.3940000187139958,R K Puram,2017-07-21,33.769230769230774
1176,0.7320000347681344,1.0840000514872372,Punjabi Bagh,2017-07-22,35.75
1177,0.7320000347681344,1.0840000514872372,Mandir,2017-07-22,46.22916666666666
1179,0.7320000347681344,1.0840000514872372,Shadipur,2017-07-22,35.80770833333333
1181,0.3520000167191029,0.10300000489223747,Shadipur,2017-08-01,47.87574468085107
1182,0.3520000167191029,0.10300000489223747,NSIT Dwarka,2017-08-01,39.996875
1185,0.3520000167191029,0.10300000489223747,ITO,2017-08-01,43.23333333333333
1186,0.3520000167191029,0.10300000489223747,R K Puram,2017-08-01,34.5
1188,0.6440000305883586,2.1240001008845866,NSIT Dwarka,2017-08-05,89.695652173913
1189,0.7740000367630273,1.503000071388669,Sirifort,2017-08-05,57.33333333333334
1193,0.7790000370005146,1.675000079558231,Shadipur,2017-08-05,100.94520833333333
1194,0.1150000054622069,0.6630000314908102,Shadipur,2017-08-07,68.78391304347828
1195,0.5290000251261517,0.5650000268360601,Sirifort,2017-08-07,45.20454545454545
1196,0.2320000110194087,0.6180000293534249,Mandir,2017-08-07,40.36363636363637
1197,0.2320000110194087,0.6180000293534249,NSIT Dwarka,2017-08-07,53.09148936170214
1198,0.2320000110194087,0.6180000293534249,US Diplomatic Post: New Delhi,2017-08-07,43.25
1199,0.2320000110194087,0.6180000293534249,R K Puram,2017-08-07,60.63636363636363
1200,0.1150000054622069,0.6630000314908102,Punjabi Bagh,2017-08-07,47.5
1201,0.2320000110194087,0.6180000293534249,ITO,2017-08-07,69.69230769230771
1202,0.25400001206435263,0.6090000289259478,Sirifort,2017-08-15,30.89583333333333
1203,0.25400001206435263,0.6090000289259478,US Diplomatic Post: New Delhi,2017-08-15,30.125
1204,0.25400001206435263,0.6090000289259478,R K Puram,2017-08-15,54.16666666666666
1205,0.16700000793207434,0.6290000298758969,Punjabi Bagh,2017-08-15,34.57142857142857
