local,location,city,country,value,unit,latitude,longitude
2015-07-01 10:10:00,Mandir Marg,Delhi,IN,81.0,µg/m³,28.6341,77.2005
2015-07-01 10:10:00,Anand Vihar,Delhi,IN,75.0,µg/m³,28.6508,77.3152
2015-07-01 10:10:00,RK Puram,Delhi,IN,89.0,µg/m³,28.5648,77.1744
2015-07-01 10:10:00,Punjabi Bagh,Delhi,IN,86.0,µg/m³,28.6683,77.1167
2015-07-01 10:30:00,Punjabi Bagh,Delhi,IN,184.0,µg/m³,28.6683,77.1167
2015-07-01 10:30:00,Mandir Marg,Delhi,IN,69.0,µg/m³,28.6341,77.2005
2015-07-01 10:30:00,RK Puram,Delhi,IN,89.0,µg/m³,28.5648,77.1744
2015-07-01 10:40:00,Anand Vihar,Delhi,IN,62.0,µg/m³,28.6508,77.3152
2015-07-01 11:10:00,RK Puram,Delhi,IN,108.0,µg/m³,28.5648,77.1744
2015-07-01 11:10:00,Mandir Marg,Delhi,IN,69.0,µg/m³,28.6341,77.2005
2015-07-01 11:10:00,Punjabi Bagh,Delhi,IN,184.0,µg/m³,28.6683,77.1167
2015-07-01 11:20:00,Anand Vihar,Delhi,IN,62.0,µg/m³,28.6508,77.3152
2015-07-01 11:30:00,Punjabi Bagh,Delhi,IN,86.0,µg/m³,28.6683,77.1167
2015-07-01 11:30:00,RK Puram,Delhi,IN,117.0,µg/m³,28.5648,77.1744
2015-07-01 11:40:00,Anand Vihar,Delhi,IN,112.0,µg/m³,28.6508,77.3152
2015-07-01 12:10:00,RK Puram,Delhi,IN,117.0,µg/m³,28.5648,77.1744
2015-07-01 12:10:00,Punjabi Bagh,Delhi,IN,86.0,µg/m³,28.6683,77.1167
2015-07-01 12:10:00,Anand Vihar,Delhi,IN,112.0,µg/m³,28.6508,77.3152
2015-07-01 12:10:00,Mandir Marg,Delhi,IN,57.0,µg/m³,28.6341,77.2005
2015-07-01 12:30:00,Mandir Marg,Delhi,IN,82.0,µg/m³,28.6341,77.2005
2015-07-01 12:30:00,RK Puram,Delhi,IN,117.0,µg/m³,28.5648,77.1744
2015-07-01 12:30:00,Punjabi Bagh,Delhi,IN,74.0,µg/m³,28.6683,77.1167
2015-07-01 12:40:00,Anand Vihar,Delhi,IN,153.0,µg/m³,28.6508,77.3152
2015-07-01 13:10:00,Anand Vihar,Delhi,IN,153.0,µg/m³,28.6508,77.3152
2015-07-01 13:10:00,RK Puram,Delhi,IN,92.0,µg/m³,28.5648,77.1744
2015-07-01 13:10:00,Mandir Marg,Delhi,IN,82.0,µg/m³,28.6341,77.2005
2015-07-01 13:10:00,Punjabi Bagh,Delhi,IN,74.0,µg/m³,28.6683,77.1167
2015-07-01 13:30:00,Mandir Marg,Delhi,IN,161.0,µg/m³,28.6341,77.2005
2015-07-01 13:30:00,Punjabi Bagh,Delhi,IN,77.0,µg/m³,28.6683,77.1167
2015-07-01 13:30:00,Anand Vihar,Delhi,IN,80.0,µg/m³,28.6508,77.3152
2015-07-01 13:30:00,RK Puram,Delhi,IN,92.0,µg/m³,28.5648,77.1744
2015-07-01 14:10:00,Mandir Marg,Delhi,IN,161.0,µg/m³,28.6341,77.2005
2015-07-01 14:10:00,RK Puram,Delhi,IN,92.0,µg/m³,28.5648,77.1744
2015-07-01 14:10:00,Punjabi Bagh,Delhi,IN,77.0,µg/m³,28.6683,77.1167
2015-07-01 14:10:00,Anand Vihar,Delhi,IN,80.0,µg/m³,28.6508,77.3152
2015-07-01 14:30:00,Mandir Marg,Delhi,IN,52.0,µg/m³,28.6341,77.2005
2015-07-01 14:30:00,Punjabi Bagh,Delhi,IN,42.0,µg/m³,28.6683,77.1167
2015-07-01 14:30:00,RK Puram,Delhi,IN,45.0,µg/m³,28.5648,77.1744
2015-07-01 15:10:00,Anand Vihar,Delhi,IN,29.0,µg/m³,28.6508,77.3152
2015-07-01 15:10:00,Punjabi Bagh,Delhi,IN,42.0,µg/m³,28.6683,77.1167
2015-07-01 15:10:00,RK Puram,Delhi,IN,45.0,µg/m³,28.5648,77.1744
2015-07-01 15:10:00,Mandir Marg,Delhi,IN,52.0,µg/m³,28.6341,77.2005
2015-07-01 15:30:00,Mandir Marg,Delhi,IN,30.0,µg/m³,28.6341,77.2005
2015-07-01 15:30:00,RK Puram,Delhi,IN,16.0,µg/m³,28.5648,77.1744
2015-07-01 15:40:00,Anand Vihar,Delhi,IN,79.0,µg/m³,28.6508,77.3152
2015-07-01 16:10:00,Mandir Marg,Delhi,IN,30.0,µg/m³,28.6341,77.2005
2015-07-01 16:10:00,Anand Vihar,Delhi,IN,79.0,µg/m³,28.6508,77.3152
2015-07-01 16:10:00,RK Puram,Delhi,IN,16.0,µg/m³,28.5648,77.1744
2015-07-01 16:30:00,RK Puram,Delhi,IN,38.0,µg/m³,28.5648,77.1744
2015-07-01 16:30:00,Mandir Marg,Delhi,IN,36.0,µg/m³,28.6341,77.2005
2015-07-01 16:30:00,Punjabi Bagh,Delhi,IN,49.0,µg/m³,28.6683,77.1167
2015-07-01 16:40:00,Anand Vihar,Delhi,IN,56.0,µg/m³,28.6508,77.3152
2015-07-01 17:10:00,Mandir Marg,Delhi,IN,36.0,µg/m³,28.6341,77.2005
2015-07-01 17:10:00,RK Puram,Delhi,IN,38.0,µg/m³,28.5648,77.1744
2015-07-01 17:10:00,Punjabi Bagh,Delhi,IN,49.0,µg/m³,28.6683,77.1167
2015-07-01 17:10:00,Anand Vihar,Delhi,IN,56.0,µg/m³,28.6508,77.3152
2015-07-01 17:30:00,RK Puram,Delhi,IN,23.0,µg/m³,28.5648,77.1744
2015-07-01 17:30:00,Mandir Marg,Delhi,IN,22.0,µg/m³,28.6341,77.2005
2015-07-01 17:30:00,Punjabi Bagh,Delhi,IN,35.0,µg/m³,28.6683,77.1167
2015-07-01 17:40:00,Anand Vihar,Delhi,IN,80.0,µg/m³,28.6508,77.3152
2015-07-01 18:10:00,Mandir Marg,Delhi,IN,22.0,µg/m³,28.6341,77.2005
2015-07-01 18:10:00,RK Puram,Delhi,IN,23.0,µg/m³,28.5648,77.1744
2015-07-01 18:10:00,Punjabi Bagh,Delhi,IN,35.0,µg/m³,28.6683,77.1167
2015-07-01 18:10:00,Anand Vihar,Delhi,IN,80.0,µg/m³,28.6508,77.3152
2015-07-01 18:30:00,RK Puram,Delhi,IN,27.0,µg/m³,28.5648,77.1744
2015-07-01 18:30:00,Mandir Marg,Delhi,IN,22.0,µg/m³,28.6341,77.2005
2015-07-01 18:30:00,Punjabi Bagh,Delhi,IN,24.0,µg/m³,28.6683,77.1167
2015-07-01 18:40:00,Anand Vihar,Delhi,IN,51.0,µg/m³,28.6508,77.3152
2015-07-01 19:10:00,Punjabi Bagh,Delhi,IN,24.0,µg/m³,28.6683,77.1167
2015-07-01 19:10:00,Anand Vihar,Delhi,IN,51.0,µg/m³,28.6508,77.3152
2015-07-01 19:10:00,Mandir Marg,Delhi,IN,22.0,µg/m³,28.6341,77.2005
2015-07-01 19:10:00,RK Puram,Delhi,IN,27.0,µg/m³,28.5648,77.1744
2015-07-01 19:30:00,Punjabi Bagh,Delhi,IN,53.0,µg/m³,28.6683,77.1167
2015-07-01 19:30:00,RK Puram,Delhi,IN,56.0,µg/m³,28.5648,77.1744
2015-07-01 19:40:00,Anand Vihar,Delhi,IN,40.0,µg/m³,28.6508,77.3152
2015-07-01 20:10:00,RK Puram,Delhi,IN,56.0,µg/m³,28.5648,77.1744
2015-07-01 20:10:00,Anand Vihar,Delhi,IN,40.0,µg/m³,28.6508,77.3152
2015-07-01 20:10:00,Punjabi Bagh,Delhi,IN,53.0,µg/m³,28.6683,77.1167
2015-07-01 20:30:00,Anand Vihar,Delhi,IN,23.0,µg/m³,28.6508,77.3152
2015-07-01 20:30:00,Mandir Marg,Delhi,IN,26.0,µg/m³,28.6341,77.2005
2015-07-01 20:30:00,RK Puram,Delhi,IN,33.0,µg/m³,28.5648,77.1744
